Company Name,Phone,E-mail
AAA Car Care Insurance Travel Center - East Brunswick,(732) 955-9010,carcareschedulerequestseastbrunswick@aaacorp.com
Pag Carshop,(855) 383-0645,aaaservicecarshopmtholly@penskeautomotive.com
John's Collision Inc.,(570) 801-7818,
Austins Auto Service,(610) 866-5440,austinsautoservice@gmail.com
Autolex Dealerships Inc,(610) 740-3005,autolex@aol.com
"Wayne's Garage, Inc.",(215) 222-5703,Waynegarage@gmail.com
,,
Pag Audi Of Turnersville,(855) 474-2794,aaaserviceaudiofturnersville@penskeautomotive.com
Smithwest Service Center,(631) 265-9885,aaa@smithwestauto.com
AAA Brick Car Care Insurance Travel Center,(732) 451-0600,carcareschedulerequestsbrick@aaacorp.com
Jaguar Land Rover White Plains,(914) 468-4201,
Lee Myles Transmission & Auto Care,(917) 682-7545,Leemyleshollis@gmail.com
Cappellos Auto Repair Inc.,(914) 762-0022,cappellostire@optonline.net
Giovanni Auto Body,(203) 488-0556,giovanni.autobody@yahoo.com
Lansdale Chrysler Jeep,(215) 855-9540,johnzap@lansdalecj.com
Christian Brothers Automotive Montgomery Mall Llc,(267) 263-4422,pa004@cbauto.net
Central Getty,(201) 798-2080,kardr54@hotmail.com
New Street Auto Service Inc,(610) 948-4414,red5276@comcast.net
Audi Nyack,(845) 353-7300,pboffoli@audinyack.com
Audi New Rochelle,(914) 779-2020,stjepkema@audinewrochelle.com
Fix N Fuel,(973) 748-6088,ncluen@aol.com
AAA Car Care Insurance Travel Center - Willow Grove,(215) 392-9620,carcareschedulerequestswillowgrove@aaacorp.com
J & E Auto Body,(732) 574-9133,jneautobody@verizon.net
Pag Audi Of Eatontown,(732) 734-0238,aaaserviceaudiofeatontown@penskeautomotive.com
Gregory's Auto Service Inc,(570) 253-4243,info@GregorysAuto.com
Patriot Buick GMC,(610) 367-8800,
Bridgewater Motorworks,(908) 218-9100,info@bwmotorworks.com
Village Center Automotive Inc,(610) 346-7774,boblinhill@yahoo.com
Godshalls Auto Service Of Sellersville,(215) 257-2900,mail@godshallsauto.com
Mukti 74 Petroleum Inc.,(718) 672-4140,mukti74@muktipetroleum.com
Main Street Auto,(856) 985-4771,marltonmainstreetauto@gmail.com
Holiday Service Center,(732) 240-9871,holidayservicecenter@gmail.com
Nelcon Service Center,(203) 239-3920,ed@nelcontowing.com
R.J.Shore 2,(203) 484-1181,j115shore@yahoo.com
Lennys Auto Services Inc,(610) 469-1800,lennysautoserviceinc@comcast.net
Plymouth Auto & Tire Center,(610) 825-6558,plymouthautorepair@gmail.com
Pag Carshop,(732) 997-3999,aaaservicecarshopsbrunswick@penskeautomotive.com
Kristians Auto & Truck Repair Llc,(215) 398-2329,kristiansautoandtruck@gmail.com
Matt Blatt Auto,(856) 218-7930,service@mattblatt.com
Pinkava's Motor Company,(973) 376-0181,jeffpinkava@yahoo.com
Auto Tech Service Center,(203) 348-8421,service@autotechct.com
"Carstar, Berlin",(860) 828-7656,JoeLab@carstarberlin.com
Bruneau's Garage,(203) 934-2400,robertsservicecenter@gmail.com
Alderfer Glass Co,(215) 723-1192,customerservice@alderferglass.com
"Mal's Auto & Truck Repair, Inc.",(860) 395-1214,malsauto1@aol.com
Dutchess Auto Body,(845) 855-3010,johnnyaa12@yahoo.com
Knight's Automotive Repair,(973) 927-0114,service@knightsautorepair.com
Xavier's Auto Center,(267) 686-3179,xaviersautocenter@gmail.com
Roger's Car Care,(570) 676-3870,
Matthey Automotive,(856) 854-2507,jim@mattheyautomotive.com
Teaneck Shell,(201) 836-7995,teaneckshell@aol.com
No 1 Service Center,(610) 432-7044,number1service@rcn.com
Undertoe Auto Service,(609) 492-0020,riptideservicecenter@gmail.com
Tim Uba Automotive,(610) 495-1022,timubaauto@comcast.net
Sadowski Auto Care,(201) 998-8424,sadowskiautocare@hotmail.com
AAA Car Care Insurance Travel Center - South Philly,(215) 399-1000,carcareschedulerequestssouthphiladelphia@aaacorp.com
BMW Of Greenwich,(855) 756-3040,AAAServiceBMWofGreenwich@penskeautomotive.com
Mike's Auto Service,(860) 667-1426,mike@mikesnewington.com
Midas Torrington,(860) 387-7159,midasoftorrington@midasamg.com
Hudson Nissan,(201) 435-2003,AAAserviceHudsonNissan@penskeautomotive.com
Select Auto And Truck Repair,(973) 325-7898,john@selecttowing.com
Midas Auto Service Experts,(570) 424-5116,
AAA Car Care Insurance Travel Center - Toms River,(732) 244-6800,carcareschedulerequeststomsriver@aaacorp.com
Jack's Auto Service,(845) 373-9757,jacks@jacksautoservice.com
Reliable Auto Body,(610) 433-3212,ashley@reliableautobody.com
Nor Parsons Service Center Inc.,(718) 380-6484,norparsons573@gmail.com
"Angelo's Auto Body,",(203) 357-8344,angelosjimmy@aol.com
AAA Freehold Car Care Insurance Travel Center,(732) 591-5294,CarCareScheduleRequestFreehold@aaacorp.com
Tony's Auto Service,(856) 661-0077,tonysauto1958@comcast.net
BMW Of Ramsey,(777) 551-5402,NJRAMBMW_AAA@lithia.com
AA Auto Tech,(914) 737-0500,
Car Doc Inc,(610) 767-7110,info@cardocinc.com
Oceanside Auto Llc,(860) 388-9833,oceansideservice@gmail.com
Mukti 187 Petroleum,(778) 454-8770,mukti187@muktipetroleum.com
Nor-Bay Service Station Inc.,(718) 379-8731,norbay500@gmail.com
Richter's Service,(201) 652-4818,service@richtersauto.com
Puleo's Auto Clinic,(908) 835-8488,autorepair@puleosauto.com
Balducci's Total Car Care,(856) 795-4800,bill@balduccistcc.com
Mukti 166 Petroleum Inc.,(718) 465-5656,mukti@muktipetroleum.com
AAA Tire And Auto Service - Southington,(860) 793-3630,CarCareScheduleRequestSouthington@aaacorp.com
Dch Kay Honda,(732) 982-2732,NJKAYHON_AAA@lithia.com
Deepa Auto Repair,(732) 283-2469,deepaauto27@yahoo.com
General Muffler & Auto Supply Inc.,(203) 735-6406,generalmuffler1@aol.com
Mukti 77 Petroleum Inc.,(718) 347-3400,mukti@muktipetroleum.com
,,
Hudson Chrysler Dodge Jeep Ram,(201) 435-2003,AAAServiceHudsonCJD@penskeautomotive.com
Weston Service Center,(908) 685-9537,westonservice@verizon.net
Dch Hamilton Honda,(609) 528-2600,njhamhon_aaa@lithia.com
Jensen Tire Auto & Marine,(203) 459-4244,appointments@jensenautomotive.com
Petty Motorworks,(609) 622-4322,petty3@gmail.com
Jack Daniels Audi Of Paramus,(201) 398-1212,jstuetz@jackdanielsmotors.com
Competition Auto Works,(718) 626-1013,competitionautowork@gmail.com
Dch Academy Honda,(732) 847-4391,NYALBCHR_AAA@lithia.com
Midas Branford,(203) 903-2519,midasofbranford@midasamg.com
Urban Classics Auto Repair,(718) 622-8484,
Pag Acura Of Turnersville,(856) 649-1800,aaaserviceacuraturnersville@penskeautomotive.com
Walker's Automotive Service,(609) 646-2028,walkersautomotiveservice@gmail.com
Pag Porsche Monmouth,(732) 935-7600,aaaserviceporschemonmouth@penskeautomotive.com
Nor Great Neck Service Center Inc.,(516) 773-9266,greatnecknor@gmail.com
Stoney Road Auto & Tire,(973) 345-3473,stoneyroadauto@optonline.net
Mezzio Tire & Auto Center,(203) 729-5988,jay@mezzioauto.com
Audi Of Fort Washington,(888) 814-1282,
Lehigh Valley Hyundai,(610) 967-6500,daniel.carcione@vinart.com
Nigro's Auto Body,(215) 925-4520,
Dave's Auto Service Inc,(610) 367-1844,
Bell Audi,(732) 388-2800,mslyman@bellaudi.com
Quality Auto Truck & Tire,(908) 281-0202,info@qattnj.com
Durable Radiator & Auto Body,(203) 753-0067,durabletowing1@yahoo.com
Northeastern Automotive,(610) 992-0700,office@northeasternautorepair.com
Kings Linden Mobil,(718) 649-0740,deanpapa7@hotmail.com
"Alex's Tire Center, Inc.",(610) 759-8473,sales@alexstire.com
Quality Auto Repair,(856) 988-8200,snolan@myqualityautorepair.com
Audi Of Wynnewood,,Jsolomon@MMCOauto.com
The Brake Shop & Auto Repair,(610) 253-2566,service@brakeshopandautorepair.com
"Young Volkswagen, Inc.",(610) 991-9100,chadn@youngcars.net
Hoffman Audi,(860) 289-7723,Elliot.matos@hoffmanauto.com
Long Hill Auto,(908) 647-7984,barl6663@aol.com
Jaguar Land Rover Englewood,(201) 408-6582,pvictorero@penskeautomotive.com
,,
Wrenchtec,(610) 759-7581,wrenchtec@mail.com
Murante Auto Repair Llc,(610) 759-6121,lou@muranteautorepair.com
